,Date_Name,ForecastFromPresent,StationName,WeekdayName,startTime,endTime,windDirection,Rain,WindMph,temperature,SnowFlag
0,2022-12-06_East Fork Carson,1,East Fork Carson,Today,2022-12-06,2022-12-06,E,0.0,5.0,25.0,0.0
1,2022-12-06_East Walker,1,East Walker,Today,2022-12-06,2022-12-06,SW,0.0,5.0,18.5,0.0
2,2022-12-06_Eel River Fort Seward,1,Eel River Fort Seward,Today,2022-12-06,2022-12-06,E,0.0,2.5,41.0,0.0
3,2022-12-06_Eel River Scotia,1,Eel River Scotia,Today,2022-12-06,2022-12-06,SSE,0.0,5.5,42.5,0.0
4,2022-12-06_Hat Creek,1,Hat Creek,Today,2022-12-06,2022-12-06,ENE,0.0,2.0,28.5,0.0
5,2022-12-06_Little Truckee River,1,Little Truckee River,Today,2022-12-06,2022-12-06,S,0.0,5.0,24.0,0.0
6,2022-12-06_Mad River,1,Mad River,Today,2022-12-06,2022-12-06,ESE,0.0,5.0,44.0,0.0
7,2022-12-06_Mattole River Ettersburg,1,Mattole River Ettersburg,Today,2022-12-06,2022-12-06,SSE,0.0,2.5,41.5,0.0
8,2022-12-06_Mattole River Petrolia,1,Mattole River Petrolia,Today,2022-12-06,2022-12-06,ENE,0.0,6.0,45.5,0.0
9,2022-12-06_Navarro River,1,Navarro River,Today,2022-12-06,2022-12-06,E,1.0,5.5,45.5,0.0
10,2022-12-06_Nestucca River Beaver,1,Nestucca River Beaver,Today,2022-12-06,2022-12-06,SE,1.0,4.0,41.0,0.0
11,2022-12-06_North Fork American River,1,North Fork American River,Today,2022-12-06,2022-12-06,E,1.5,2.5,45.5,0.0
12,2022-12-06_North Umpqua River Winchester,1,North Umpqua River Winchester,Today,2022-12-06,2022-12-06,ESE,0.0,2.5,41.5,0.0
13,2022-12-06_North Umpquar River Idlelyd,1,North Umpquar River Idlelyd,Today,2022-12-06,2022-12-06,E,0.0,4.0,40.0,0.0
14,2022-12-06_Noyo River,1,Noyo River,Today,2022-12-06,2022-12-06,E,0.0,5.5,43.5,0.0
15,2022-12-06_Pit River,1,Pit River,Today,2022-12-06,2022-12-06,ENE,0.5,3.0,30.5,0.0
16,2022-12-06_Putah Creek,1,Putah Creek,Today,2022-12-06,2022-12-06,N,2.0,6.0,46.5,0.0
17,2022-12-06_Redwood Creek Orick,1,Redwood Creek Orick,Today,2022-12-06,2022-12-06,ESE,0.0,8.0,44.0,0.0
18,2022-12-06_Rogue River Agness,1,Rogue River Agness,Today,2022-12-06,2022-12-06,ENE,0.0,2.0,40.5,0.0
19,2022-12-06_Rogue River Grants Pass,1,Rogue River Grants Pass,Today,2022-12-06,2022-12-06,ENE,0.0,1.5,39.5,0.0
20,2022-12-06_Russian River HaciendaBridge,1,Russian River HaciendaBridge,Today,2022-12-06,2022-12-06,N,1.5,2.5,47.5,0.0
21,2022-12-06_San Lorenzo River,1,San Lorenzo River,Today,2022-12-06,2022-12-06,ENE,2.0,2.0,48.0,0.0
22,2022-12-06_San Lorenzo River Upper,1,San Lorenzo River Upper,Today,2022-12-06,2022-12-06,E,2.0,2.0,48.5,0.0
23,2022-12-06_Smith River CC,1,Smith River CC,Today,2022-12-06,2022-12-06,E,0.0,5.0,44.0,0.0
